date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:40	93/93	---MCZ	200	added ('OK')	text/plain	etag:W/%223755f3b1d96d51cdbb5ae1e5046ef1a7%22	https://www.myfamilyclinics.com/robots.txt		(from )
14:07:41	107167/107167	---MCZ	200	added ('OK')	text/html	etag:W/%220036bdfd609e1b653cabcc1db4b5f853%22	https://www.myfamilyclinics.com/	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/index.html	(from )
14:07:41	87/87	---MCZ	403	error ('Forbidden')	text/plain	date:Wed,%2001%20Nov%202023%2021:07:41%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=32,h=32,fit=crop,f=png/_SITE-ASSETS/AwvvXODQbRuPooMZ/favicon.jpg?no-cache=1638086088307	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/assets.zyrosite.com/cdn-cgi/image/format=auto,w=32,h=32,fit=crop,f=png/_SITE-ASSETS/AwvvXODQbRuPooMZ/favicon.0cf13.delayed	(from https://www.myfamilyclinics.com/)
14:07:41	929092/929092	---MCZ	200	added ('OK')	application/javascript	etag:W/%223ed185cd7e498bca2b15428c0df16b92%22	https://userapp.zyrosite.com/1681220106/assets/js/index-ade9b872.js	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/userapp.zyrosite.com/1681220106/assets/js/index-ade9b872.js	(from https://www.myfamilyclinics.com/)
14:07:42	234379/234379	---MCZ	200	added ('OK')	text/css	etag:W/%22eb96a977362ad3b0616e550bb098d9b2%22	https://userapp.zyrosite.com/1681220106/assets/css/index-88c8cfb7.css	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/userapp.zyrosite.com/1681220106/assets/css/index-88c8cfb7.css	(from https://www.myfamilyclinics.com/)
14:07:43	24334/24334	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Nov%202021%2010:13:27%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=325.5,fit=crop/AwvvXODQbRuPooMZ/new-logo-MFC-nov.-onwards-YZ99z6oWe2ckE2Nj.jpg	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/assets.zyrosite.com/cdn-cgi/image/format=auto,w=325.5,fit=crop/AwvvXODQbRuPooMZ/new-logo-MFC-nov.-onwards-YZ99z6oWe2ckE2Nj.jpg	(from https://www.myfamilyclinics.com/)
14:07:44	80330/80330	---MCZ	200	added ('OK')	text/html	etag:W/%22b7de6c34f3cf45c75409b6227abea0c4%22	https://www.myfamilyclinics.com/my-family-clinics-services	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/my-family-clinics-services.html	(from https://www.myfamilyclinics.com/)
14:07:45	113891/113891	---MCZ	200	added ('OK')	text/html	etag:W/%22972aeae389b625deeafda5bc60983915%22	https://www.myfamilyclinics.com/hindi	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/hindi.html	(from https://www.myfamilyclinics.com/)
14:07:45	100149/100149	---MCZ	200	added ('OK')	text/html	etag:W/%2288f0af1ae2abb77593fa111efda0fd1c%22	https://www.myfamilyclinics.com/my-eye-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/my-eye-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:45	68872/68872	---MCZ	200	added ('OK')	text/html	etag:W/%22db01ab89fcd3baa3633ddb9920d27508%22	https://www.myfamilyclinics.com/childs-eye-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/childs-eye-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:46	58697/58697	---MCZ	200	added ('OK')	text/html	etag:W/%2285fb806d10d78934c10b1dc152ffec02%22	https://www.myfamilyclinics.com/comprehensive-eye-health-checkup	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/comprehensive-eye-health-checkup.html	(from https://www.myfamilyclinics.com/)
14:07:46	78910/78910	---MCZ	200	added ('OK')	text/html	etag:W/%22a60c74b05d2bd65bc3f99d7658cd429c%22	https://www.myfamilyclinics.com/eye-diagnostics-center	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/eye-diagnostics-center.html	(from https://www.myfamilyclinics.com/)
14:07:47	59589/59589	---MCZ	200	added ('OK')	text/html	etag:W/%227f395d2e7d12e88b7c50e45f82bdf688%22	https://www.myfamilyclinics.com/eye-lid-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/eye-lid-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:47	52458/52458	---MCZ	200	added ('OK')	text/html	etag:W/%2213cc6d642ad2bdee99cbe88afa47d39d%22	https://www.myfamilyclinics.com/eye-surgical-center	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/eye-surgical-center.html	(from https://www.myfamilyclinics.com/)
14:07:48	49889/49889	---MCZ	200	added ('OK')	text/html	etag:W/%224974a74d83289ecfbdc9220a2199a8dc%22	https://www.myfamilyclinics.com/glaucoma-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/glaucoma-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:48	72260/72260	---MCZ	200	added ('OK')	text/html	etag:W/%220075da5dc4e7d32b09b89abb5d5a28a0%22	https://www.myfamilyclinics.com/optician	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/optician.html	(from https://www.myfamilyclinics.com/)
14:07:49	64232/64232	---MCZ	200	added ('OK')	text/html	etag:W/%226ba42ebfe9a4d0b92322d1b02483ef7b%22	https://www.myfamilyclinics.com/retina-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/retina-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:49	58224/58224	---MCZ	200	added ('OK')	text/html	etag:W/%229a0c94ee46be7bda43e3574addea601b%22	https://www.myfamilyclinics.com/squint-and-orthoptics-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/squint-and-orthoptics-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:50	54166/54166	---MCZ	200	added ('OK')	text/html	etag:W/%2278c6fdf9ed66f9d5937706105d7728d0%22	https://www.myfamilyclinics.com/uvea-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/uvea-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:50	109166/109166	---MCZ	200	added ('OK')	text/html	etag:W/%224fcc01d5a2f2627d437b87be59732f10%22	https://www.myfamilyclinics.com/-my-eye-clinic-hindi	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/-my-eye-clinic-hindi.html	(from https://www.myfamilyclinics.com/)
14:07:51	86106/86106	---MCZ	200	added ('OK')	text/html	etag:W/%225e187142d8d41258632faca1a30d6077%22	https://www.myfamilyclinics.com/my-physicians-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/my-physicians-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:51	53728/53728	---MCZ	200	added ('OK')	text/html	etag:W/%227669ad6e2e97ecf2c218e8e0c40f319c%22	https://www.myfamilyclinics.com/my-hypertension-bp-ht-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/my-hypertension-bp-ht-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:53	50992/50992	---MCZ	200	added ('OK')	text/html	etag:W/%2277cfdfe70c0a3d78b1ef25fa5a115014%22	https://www.myfamilyclinics.com/my-diabetes-sugar-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/my-diabetes-sugar-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:53	79110/79110	---MCZ	200	added ('OK')	text/html	etag:W/%2233687027c7c7ea07d33d5c2fe65896a3%22	https://www.myfamilyclinics.com/my-vaccination-center	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/my-vaccination-center.html	(from https://www.myfamilyclinics.com/)
14:07:54	83990/83990	---MCZ	200	added ('OK')	text/html	etag:W/%22d37439e0add584ea6a4ad4fec197d208%22	https://www.myfamilyclinics.com/home-visits-healing-at-home	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/home-visits-healing-at-home.html	(from https://www.myfamilyclinics.com/)
14:07:54	47975/47975	---MCZ	200	added ('OK')	text/html	etag:W/%22903df2e8112613b95d0d38ebb83e9cde%22	https://www.myfamilyclinics.com/my-dental-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/my-dental-clinic.html	(from https://www.myfamilyclinics.com/)
14:07:54	80608/80608	---MCZ	200	added ('OK')	text/html	etag:W/%22f21b8223b6bb844e08f59b0ca6c038d6%22	https://www.myfamilyclinics.com/my-homeopathy-clinic	A:/WORK%20DOCS%20VERY%20IMPORTANT/Whites/Doctor%20Free%20Website%20Template%20-%20Free-CSS.com/INDAIN/clone/www.myfamilyclinics.com/my-homeopathy-clinic.html	(from https://www.myfamilyclinics.com/)
